timestamp,src_port,dst_port,protocol,packet_size,label
2025-10-22T23:15:49.477604,24145,3563,TCP,123,0
2025-10-22T23:15:50.882608,11466,4968,TCP,345,0
2025-10-22T23:15:51.446651,30473,2769,UDP,337,0
2025-10-22T23:15:51.743644,24036,880,TCP,234,0
2025-10-22T23:15:52.598255,48094,7323,TCP,268,0
2025-10-22T23:15:52.787801,47492,3441,UDP,320,0
2025-10-22T23:15:53.969427,62812,6269,TCP,64,0
2025-10-22T23:15:54.083932,11028,4626,TCP,286,0
2025-10-22T23:15:56.017299,41154,5723,UDP,441,0
2025-10-22T23:15:56.201474,31613,2851,TCP,356,0
2025-10-22T23:15:56.395640,53587,8041,TCP,514,0
2025-10-22T23:15:57.116822,43780,7240,UDP,579,0
2025-10-22T23:15:58.477464,14810,3423,UDP,317,0
2025-10-22T23:15:59.770610,63121,3465,UDP,203,0
2025-10-22T23:16:01.432419,44536,7208,TCP,125,0
2025-10-22T23:16:02.655839,4126,4061,UDP,125,0
2025-10-22T23:16:03.673191,62653,7835,UDP,137,0
2025-10-22T23:16:05.448761,55316,7,TCP,147,2
2025-10-22T23:16:06.245909,8220,555,TCP,138,2
2025-10-22T23:16:06.664187,37975,9,TCP,191,2
2025-10-22T23:16:08.938887,5282,746,TCP,233,0
2025-10-22T23:16:10.282460,22085,7448,UDP,385,0
2025-10-22T23:16:12.192312,48109,1229,TCP,63,0
2025-10-22T23:16:12.539691,34820,5160,TCP,391,0
2025-10-22T23:16:12.852655,1782,170,TCP,502,0
2025-10-22T23:16:12.900153,17591,5893,TCP,228,0
2025-10-22T23:16:14.258694,19236,249,TCP,188,2
2025-10-22T23:16:14.721436,63295,848,TCP,59,2
2025-10-22T23:16:15.238620,14150,202,TCP,147,2
2025-10-22T23:16:16.033138,20680,724,TCP,180,2
2025-10-22T23:16:17.142083,36944,3072,UDP,54,0
2025-10-22T23:16:17.927175,37332,705,TCP,129,2
2025-10-22T23:16:18.138641,10687,415,TCP,75,2
2025-10-22T23:16:18.875938,43242,415,TCP,71,2
2025-10-22T23:16:19.582481,61698,862,TCP,120,2
2025-10-22T23:16:20.127797,35040,144,TCP,172,2
2025-10-22T23:16:20.711153,29789,232,TCP,126,2
2025-10-22T23:16:20.737170,11248,522,TCP,124,2
2025-10-22T23:16:21.308444,14664,662,TCP,163,2
2025-10-22T23:16:21.464975,32386,382,TCP,44,2
2025-10-22T23:16:22.165612,38674,844,TCP,134,2
2025-10-22T23:16:22.892740,57388,4938,TCP,156,0
